year,state,month,number,day
2016,Espirito Santo,10,58,1
2017,Espirito Santo,10,56,1
1998,Espirito Santo,11,4,1
1999,Espirito Santo,11,9,1
2000,Espirito Santo,11,3,1
2001,Espirito Santo,11,3,1
2002,Espirito Santo,11,22,1
2003,Espirito Santo,11,49,1
2004,Espirito Santo,11,42,1
2005,Espirito Santo,11,0,1
2006,Espirito Santo,11,0,1
2007,Espirito Santo,11,112,1
2008,Espirito Santo,11,3,1
2009,Espirito Santo,11,18,1
2010,Espirito Santo,11,3,1
2011,Espirito Santo,11,6,1
2012,Espirito Santo,11,7,1
2013,Espirito Santo,11,11,1
2014,Espirito Santo,11,20,1
2015,Espirito Santo,11,141,1
2016,Espirito Santo,11,8,1
2017,Espirito Santo,11,3,1
1998,Espirito Santo,12,5,1
1999,Espirito Santo,12,0,1
2000,Espirito Santo,12,3,1
2001,Espirito Santo,12,1,1
2002,Espirito Santo,12,12,1
2003,Espirito Santo,12,18,1
2004,Espirito Santo,12,9,1
2005,Espirito Santo,12,5,1
2006,Espirito Santo,12,0,1
2007,Espirito Santo,12,14,1
2008,Espirito Santo,12,1,1
2009,Espirito Santo,12,32,1
2010,Espirito Santo,12,10,1
2011,Espirito Santo,12,1,1
2012,Espirito Santo,12,18,1
2013,Espirito Santo,12,9,1
2014,Espirito Santo,12,28,1
2015,Espirito Santo,12,61,1
2016,Espirito Santo,12,12,1
1998,Goias,1,0,1
1999,Goias,1,14,1
2000,Goias,1,10,1
2001,Goias,1,29,1
2002,Goias,1,12,1
2003,Goias,1,14,1
2004,Goias,1,10,1
2005,Goias,1,27,1
2006,Goias,1,85,1
2007,Goias,1,28,1
2008,Goias,1,23,1
2009,Goias,1,30,1
2010,Goias,1,59,1
2011,Goias,1,39,1
2012,Goias,1,21,1
2013,Goias,1,33,1
2014,Goias,1,80,1
2015,Goias,1,118,1
2016,Goias,1,52,1
2017,Goias,1,53,1
1998,Goias,2,0,1
1999,Goias,2,334,1
2000,Goias,2,11,1
2001,Goias,2,9,1
2002,Goias,2,9,1
2003,Goias,2,47,1
2004,Goias,2,11,1
2005,Goias,2,84,1
2006,Goias,2,21,1
2007,Goias,2,13,1
2008,Goias,2,25,1
2009,Goias,2,29,1
2010,Goias,2,86,1
2011,Goias,2,45,1
2012,Goias,2,37,1
2013,Goias,2,86,1
2014,Goias,2,44,1
2015,Goias,2,53,1
2016,Goias,2,117,1
2017,Goias,2,75,1
1998,Goias,3,0,1
1999,Goias,3,1,1
2000,Goias,3,4,1
2001,Goias,3,10,1
2002,Goias,3,48,1
2003,Goias,3,29,1
2004,Goias,3,36,1
2005,Goias,3,36,1
2006,Goias,3,29,1
2007,Goias,3,49,1
2008,Goias,3,20,1
2009,Goias,3,32,1
2010,Goias,3,65,1
2011,Goias,3,19,1
2012,Goias,3,57,1
2013,Goias,3,79,1
2014,Goias,3,80,1
2015,Goias,3,76,1
2016,Goias,3,136,1
2017,Goias,3,115,1
1998,Goias,4,0,1
1999,Goias,4,25,1
2000,Goias,4,16,1
2001,Goias,4,49,1
2002,Goias,4,78,1
2003,Goias,4,87,1
2004,Goias,4,32,1
2005,Goias,4,55,1
2006,Goias,4,22,1
2007,Goias,4,17,1
2008,Goias,4,36,1
2009,Goias,4,11,1
2010,Goias,4,105,1
2011,Goias,4,71,1
2012,Goias,4,89,1
2013,Goias,4,42,1
2014,Goias,4,138,1
2015,Goias,4,89,1
2016,Goias,4,167,1
2017,Goias,4,60,1
1998,Goias,5,0,1
1999,Goias,5,99,1
2000,Goias,5,58,1
2001,Goias,5,85,1
2002,Goias,5,171,1
2003,Goias,5,57,1
2004,Goias,5,157,1
2005,Goias,5,164,1
2006,Goias,5,33,1
2007,Goias,5,94,1
2008,Goias,5,41,1
2009,Goias,5,104,1
2010,Goias,5,239,1
2011,Goias,5,136,1
2012,Goias,5,103,1
2013,Goias,5,150,1
2014,Goias,5,210,1
2015,Goias,5,129,1
2016,Goias,5,233,1
2017,Goias,5,135,1
1998,Goias,6,172,1
1999,Goias,6,250,1
2000,Goias,6,222,1
2001,Goias,6,212,1
2002,Goias,6,302,1
2003,Goias,6,321,1
2004,Goias,6,422,1
2005,Goias,6,189,1
2006,Goias,6,70,1
2007,Goias,6,186,1
2008,Goias,6,55,1
2009,Goias,6,179,1
2010,Goias,6,278,1
2011,Goias,6,314,1
2012,Goias,6,245,1
2013,Goias,6,192,1
2014,Goias,6,318,1
2015,Goias,6,277,1
2016,Goias,6,289,1
2017,Goias,6,442,1
1998,Goias,7,512,1
1999,Goias,7,311,1
2000,Goias,7,332,1
2001,Goias,7,371,1
2002,Goias,7,686,1
2003,Goias,7,322,1
2004,Goias,7,778,1
2005,Goias,7,363,1
2006,Goias,7,169,1
2007,Goias,7,399,1
2008,Goias,7,193,1
2009,Goias,7,470,1
2010,Goias,7,941,1
2011,Goias,7,607,1
2012,Goias,7,564,1
2013,Goias,7,350,1
2014,Goias,7,446,1
2015,Goias,7,347,1
2016,Goias,7,837,1
2017,Goias,7,577,1
1998,Goias,8,2218,1
1999,Goias,8,1198,1
2000,Goias,8,925,1
2001,Goias,8,787,1
2002,Goias,8,1428,1
2003,Goias,8,902,1
2004,Goias,8,1498,1
2005,Goias,8,639,1
2006,Goias,8,588,1
2007,Goias,8,2381,1
2008,Goias,8,568,1
2009,Goias,8,647,1
2010,Goias,8,2913,1
2011,Goias,8,1613,1
2012,Goias,8,912,1
2013,Goias,8,488,1
2014,Goias,8,1255,1
2015,Goias,8,943,1
2016,Goias,8,1032,1
2017,Goias,8,1492,1
1998,Goias,9,2867,1
1999,Goias,9,1898,1
2000,Goias,9,1293,1
2001,Goias,9,1863,1
2002,Goias,9,3520,1
2003,Goias,9,1662,1
2004,Goias,9,2965,1
2005,Goias,9,1341,1
2006,Goias,9,1463,1
2007,Goias,9,3745,1
2008,Goias,9,1255,1
2009,Goias,9,685,1
2010,Goias,9,5075,1
2011,Goias,9,2259,1
2012,Goias,9,2452,1
2013,Goias,9,684,1
2014,Goias,9,1686,1
2015,Goias,9,2296,1
2016,Goias,9,1703,1
2017,Goias,9,3238,1
1998,Goias,10,1034,1
1999,Goias,10,743,1
2000,Goias,10,905,1
2001,Goias,10,479,1
2002,Goias,10,1367,1
2003,Goias,10,1183,1
2004,Goias,10,1275,1
2005,Goias,10,1716,1
2006,Goias,10,178,1
2007,Goias,10,1195,1
2008,Goias,10,1230,1
2009,Goias,10,367,1
2010,Goias,10,1227,1
2011,Goias,10,476,1
2012,Goias,10,1524,1
2013,Goias,10,606,1
2014,Goias,10,1946,1
2015,Goias,10,1807,1
2016,Goias,10,522,1
2017,Goias,10,2401,1
1998,Goias,11,47,1
1999,Goias,11,110,1
2000,Goias,11,26,1
2001,Goias,11,15,1
2002,Goias,11,192,1
2003,Goias,11,168,1
2004,Goias,11,291,1
2005,Goias,11,144,1
2006,Goias,11,91,1
2007,Goias,11,79,1
2008,Goias,11,90,1
2009,Goias,11,89,1
2010,Goias,11,67,1
2011,Goias,11,59,1
2012,Goias,11,57,1
2013,Goias,11,183,1
2014,Goias,11,181,1
2015,Goias,11,547,1
2016,Goias,11,123,1
2017,Goias,11,117,1
1998,Goias,12,13,1
1999,Goias,12,20,1
2000,Goias,12,6,1
2001,Goias,12,18,1
2002,Goias,12,115,1
2003,Goias,12,129,1
2004,Goias,12,56,1
2005,Goias,12,5,1
2006,Goias,12,7,1
2007,Goias,12,16,1
2008,Goias,12,6,1
2009,Goias,12,39,1
2010,Goias,12,48,1
2011,Goias,12,39,1
2012,Goias,12,93,1
2013,Goias,12,86,1
2014,Goias,12,68,1
2015,Goias,12,179,1
2016,Goias,12,64,1
1998,Maranhao,1,0,1
1999,Maranhao,1,54,1
2000,Maranhao,1,19,1
2001,Maranhao,1,29,1
2002,Maranhao,1,48,1
2003,Maranhao,1,436,1
2004,Maranhao,1,241,1
2005,Maranhao,1,450,1
2006,Maranhao,1,221,1
2007,Maranhao,1,428,1
2008,Maranhao,1,121,1
2009,Maranhao,1,240,1
2010,Maranhao,1,319,1
2011,Maranhao,1,124,1
2012,Maranhao,1,326,1
2013,Maranhao,1,209,1
2014,Maranhao,1,195,1
2015,Maranhao,1,494,1
2016,Maranhao,1,412,1
2017,Maranhao,1,187,1
1998,Maranhao,2,0,1
1999,Maranhao,2,6,1
2000,Maranhao,2,11,1
2001,Maranhao,2,1,1
2002,Maranhao,2,116,1
2003,Maranhao,2,11,1
2004,Maranhao,2,22,1
2005,Maranhao,2,56,1
2006,Maranhao,2,22,1
2007,Maranhao,2,13,1
2008,Maranhao,2,45,1
2009,Maranhao,2,20,1
2010,Maranhao,2,93,1
2011,Maranhao,2,9,1
2012,Maranhao,2,46,1
2013,Maranhao,2,62,1
2014,Maranhao,2,29,1
2015,Maranhao,2,95,1
2016,Maranhao,2,318,1
2017,Maranhao,2,47,1
1998,Maranhao,3,0,1
1999,Maranhao,3,17,1
2000,Maranhao,3,6,1
2001,Maranhao,3,0,1
2002,Maranhao,3,16,1
2003,Maranhao,3,16,1
2004,Maranhao,3,18,1
2005,Maranhao,3,9,1
2006,Maranhao,3,14,1
2007,Maranhao,3,52,1
2008,Maranhao,3,4,1
2009,Maranhao,3,33,1
2010,Maranhao,3,82,1
2011,Maranhao,3,22,1
2012,Maranhao,3,49,1
2013,Maranhao,3,30,1
2014,Maranhao,3,59,1
2015,Maranhao,3,53,1
2016,Maranhao,3,113,1
2017,Maranhao,3,32,1
1998,Maranhao,4,0,1
1999,Maranhao,4,4,1
2000,Maranhao,4,6,1
2001,Maranhao,4,2,1
2002,Maranhao,4,28,1
2003,Maranhao,4,79,1
2004,Maranhao,4,44,1
2005,Maranhao,4,43,1
2006,Maranhao,4,9,1
2007,Maranhao,4,5,1
2008,Maranhao,4,26,1
2009,Maranhao,4,14,1
2010,Maranhao,4,128,1
2011,Maranhao,4,37,1
2012,Maranhao,4,97,1
2013,Maranhao,4,62,1
2014,Maranhao,4,78,1
2015,Maranhao,4,119,1
2016,Maranhao,4,113,1
2017,Maranhao,4,91,1
1998,Maranhao,5,0,1
1999,Maranhao,5,3,1
2000,Maranhao,5,28,1
2001,Maranhao,5,21,1
2002,Maranhao,5,71,1
2003,Maranhao,5,60,1
2004,Maranhao,5,145,1
2005,Maranhao,5,74,1
2006,Maranhao,5,5,1
2007,Maranhao,5,73,1
2008,Maranhao,5,26,1
2009,Maranhao,5,19,1
2010,Maranhao,5,273,1
2011,Maranhao,5,73,1
2012,Maranhao,5,286,1
2013,Maranhao,5,100,1
2014,Maranhao,5,148,1
2015,Maranhao,5,194,1
2016,Maranhao,5,206,1
2017,Maranhao,5,142,1
1998,Maranhao,6,78,1
1999,Maranhao,6,32,1
2000,Maranhao,6,94,1
2001,Maranhao,6,100,1
2002,Maranhao,6,230,1
2003,Maranhao,6,338,1
2004,Maranhao,6,706,1
2005,Maranhao,6,529,1
2006,Maranhao,6,131,1
2007,Maranhao,6,515,1
2008,Maranhao,6,235,1
2009,Maranhao,6,279,1
2010,Maranhao,6,494,1
2011,Maranhao,6,602,1
2012,Maranhao,6,915,1
2013,Maranhao,6,498,1
2014,Maranhao,6,812,1
2015,Maranhao,6,887,1
2016,Maranhao,6,709,1
2017,Maranhao,6,885,1
1998,Maranhao,7,274,1
1999,Maranhao,7,258,1
2000,Maranhao,7,233,1
2001,Maranhao,7,549,1
2002,Maranhao,7,1271,1
2003,Maranhao,7,1103,1
2004,Maranhao,7,1365,1
2005,Maranhao,7,1152,1
2006,Maranhao,7,512,1
2007,Maranhao,7,1205,1
2008,Maranhao,7,502,1
2009,Maranhao,7,972,1
2010,Maranhao,7,2323,1
2011,Maranhao,7,1024,1
2012,Maranhao,7,3548,1
2013,Maranhao,7,1111,1
2014,Maranhao,7,2068,1
2015,Maranhao,7,1642,1
2016,Maranhao,7,2096,1
2017,Maranhao,7,2521,1
1998,Maranhao,8,1176,1
1999,Maranhao,8,895,1
2000,Maranhao,8,839,1
2001,Maranhao,8,2037,1
2002,Maranhao,8,3481,1
2003,Maranhao,8,2023,1
2004,Maranhao,8,1889,1
2005,Maranhao,8,2239,1
2006,Maranhao,8,1382,1
2007,Maranhao,8,8408,1
2008,Maranhao,8,713,1
2009,Maranhao,8,1766,1
2010,Maranhao,8,6353,1
2011,Maranhao,8,2138,1
2012,Maranhao,8,10395,1
2013,Maranhao,8,2098,1
2014,Maranhao,8,5592,1
2015,Maranhao,8,5428,1
2016,Maranhao,8,3723,1
2017,Maranhao,8,3875,1
1998,Maranhao,9,3935,1
1999,Maranhao,9,1739,1
2000,Maranhao,9,1365,1
2001,Maranhao,9,4618,1
2002,Maranhao,9,3181,1
2003,Maranhao,9,5877,1
2004,Maranhao,9,4673,1
2005,Maranhao,9,6292,1
2006,Maranhao,9,2907,1
2007,Maranhao,9,8524,1
2008,Maranhao,9,2761,1
2009,Maranhao,9,2404,1
2010,Maranhao,9,9795,1
2011,Maranhao,9,4632,1
2012,Maranhao,9,7626,1
2013,Maranhao,9,3880,1
2014,Maranhao,9,4373,1
2015,Maranhao,9,6422,1
2016,Maranhao,9,3166,1
2017,Maranhao,9,14825,1
1998,Maranhao,10,5137,1
1999,Maranhao,10,3208,1
2000,Maranhao,10,2654,1
2001,Maranhao,10,6661,1
2002,Maranhao,10,5182,1
2003,Maranhao,10,6085,1
2004,Maranhao,10,3603,1
2005,Maranhao,10,6472,1
2006,Maranhao,10,3023,1
2007,Maranhao,10,4772,1
2008,Maranhao,10,3498,1
2009,Maranhao,10,1861,1
2010,Maranhao,10,3228,1
2011,Maranhao,10,2404,1
2012,Maranhao,10,5,1
2013,Maranhao,10,2918,1
2014,Maranhao,10,5812,1
2015,Maranhao,10,6746,1
2016,Maranhao,10,5351,1
2017,Maranhao,10,6011,1
1998,Maranhao,11,2237,1
1999,Maranhao,11,1494,1
2000,Maranhao,11,2267,1
2001,Maranhao,11,3525,1
2002,Maranhao,11,5830,1
2003,Maranhao,11,4928,1
2004,Maranhao,11,6398,1
2005,Maranhao,11,4769,1
2006,Maranhao,11,2004,1
2007,Maranhao,11,2296,1
2008,Maranhao,11,2331,1
2009,Maranhao,11,5,1
2010,Maranhao,11,4005,1
2011,Maranhao,11,2261,1
2012,Maranhao,11,2009,1
2013,Maranhao,11,2529,1
2014,Maranhao,11,3869,1
2015,Maranhao,11,4350,1
2016,Maranhao,11,3981,1
2017,Maranhao,11,2300,1
1998,Maranhao,12,1399,1
1999,Maranhao,12,1000,1
2000,Maranhao,12,1460,1
2001,Maranhao,12,1296,1
2002,Maranhao,12,2165,1
2003,Maranhao,12,2424,1
2004,Maranhao,12,3255,1
2005,Maranhao,12,1660,1
2006,Maranhao,12,1052,1
2007,Maranhao,12,800,1
2008,Maranhao,12,1101,1
2009,Maranhao,12,1768,1
2010,Maranhao,12,1803,1
2011,Maranhao,12,1629,1
2012,Maranhao,12,1296,1
2013,Maranhao,12,2691,1
2014,Maranhao,12,2400,1
2015,Maranhao,12,3706,1
2016,Maranhao,12,1577,1
1998,Mato Grosso,1,0,1
1999,Mato Grosso,1,39,1
2000,Mato Grosso,1,44,1
2001,Mato Grosso,1,44,1
2002,Mato Grosso,1,172,1
2003,Mato Grosso,1,896,1
2004,Mato Grosso,1,301,1
2005,Mato Grosso,1,438,1
2006,Mato Grosso,1,947,1
2007,Mato Grosso,1,476,1
2008,Mato Grosso,1,245,1
2009,Mato Grosso,1,527,1
2010,Mato Grosso,1,298,1
2011,Mato Grosso,1,171,1
2012,Mato Grosso,1,166,1
2013,Mato Grosso,1,269,1
2014,Mato Grosso,1,315,1
2015,Mato Grosso,1,960,1
2016,Mato Grosso,1,374,1
2017,Mato Grosso,1,482,1
1998,Mato Grosso,2,0,1
1999,Mato Grosso,2,28,1
2000,Mato Grosso,2,35,1
2001,Mato Grosso,2,54,1
2002,Mato Grosso,2,22,1
2003,Mato Grosso,2,592,1
2004,Mato Grosso,2,272,1
2005,Mato Grosso,2,871,1
2006,Mato Grosso,2,383,1
2007,Mato Grosso,2,213,1
2008,Mato Grosso,2,180,1
2009,Mato Grosso,2,248,1
2010,Mato Grosso,2,431,1
2011,Mato Grosso,2,119,1
2012,Mato Grosso,2,193,1
2013,Mato Grosso,2,375,1
2014,Mato Grosso,2,199,1
2015,Mato Grosso,2,542,1
2016,Mato Grosso,2,1050,1
2017,Mato Grosso,2,337,1
1998,Mato Grosso,3,0,1
1999,Mato Grosso,3,18,1
2000,Mato Grosso,3,60,1
2001,Mato Grosso,3,24,1
2002,Mato Grosso,3,103,1
2003,Mato Grosso,3,554,1
2004,Mato Grosso,3,743,1
2005,Mato Grosso,3,362,1
2006,Mato Grosso,3,448,1
2007,Mato Grosso,3,476,1
2008,Mato Grosso,3,180,1
2009,Mato Grosso,3,325,1
2010,Mato Grosso,3,605,1
2011,Mato Grosso,3,252,1
2012,Mato Grosso,3,423,1
2013,Mato Grosso,3,563,1
2014,Mato Grosso,3,655,1
2015,Mato Grosso,3,705,1
2016,Mato Grosso,3,1085,1
2017,Mato Grosso,3,719,1
1998,Mato Grosso,4,0,1
1999,Mato Grosso,4,76,1
2000,Mato Grosso,4,59,1
2001,Mato Grosso,4,309,1
2002,Mato Grosso,4,641,1
2003,Mato Grosso,4,903,1
2004,Mato Grosso,4,441,1
2005,Mato Grosso,4,372,1
2006,Mato Grosso,4,161,1
2007,Mato Grosso,4,79,1
2008,Mato Grosso,4,274,1
2009,Mato Grosso,4,169,1
2010,Mato Grosso,4,769,1
2011,Mato Grosso,4,345,1
2012,Mato Grosso,4,521,1
2013,Mato Grosso,4,338,1
2014,Mato Grosso,4,859,1
2015,Mato Grosso,4,947,1
2016,Mato Grosso,4,1770,1
2017,Mato Grosso,4,606,1
1998,Mato Grosso,5,0,1
1999,Mato Grosso,5,731,1
2000,Mato Grosso,5,1194,1
2001,Mato Grosso,5,1193,1
2002,Mato Grosso,5,2528,1
2003,Mato Grosso,5,942,1
2004,Mato Grosso,5,2413,1
2005,Mato Grosso,5,1641,1
2006,Mato Grosso,5,269,1
2007,Mato Grosso,5,359,1
2008,Mato Grosso,5,119,1
2009,Mato Grosso,5,516,1
2010,Mato Grosso,5,1313,1
2011,Mato Grosso,5,547,1
2012,Mato Grosso,5,812,1
2013,Mato Grosso,5,739,1
2014,Mato Grosso,5,933,1
2015,Mato Grosso,5,541,1
2016,Mato Grosso,5,1081,1
2017,Mato Grosso,5,845,1
1998,Mato Grosso,6,2201,1
1999,Mato Grosso,6,2201,1
2000,Mato Grosso,6,4358,1
2001,Mato Grosso,6,6665,1
2002,Mato Grosso,6,7877,1
2003,Mato Grosso,6,4313,1
2004,Mato Grosso,6,9812,1
2005,Mato Grosso,6,2294,1
2006,Mato Grosso,6,856,1
2007,Mato Grosso,6,1339,1
2008,Mato Grosso,6,403,1
2009,Mato Grosso,6,979,1
2010,Mato Grosso,6,1025,1
2011,Mato Grosso,6,974,1
2012,Mato Grosso,6,1651,1
2013,Mato Grosso,6,1213,1
2014,Mato Grosso,6,1795,1
2015,Mato Grosso,6,1402,1
2016,Mato Grosso,6,1416,1
2017,Mato Grosso,6,2041,1
1998,Mato Grosso,7,3711,1
1999,Mato Grosso,7,3926,1
2000,Mato Grosso,7,1338,1
2001,Mato Grosso,7,1555,1
2002,Mato Grosso,7,5661,1
2003,Mato Grosso,7,5435,1
2004,Mato Grosso,7,11517,1
2005,Mato Grosso,7,4172,1
2006,Mato Grosso,7,1940,1
2007,Mato Grosso,7,1790,1
2008,Mato Grosso,7,1117,1
2009,Mato Grosso,7,1613,1
2010,Mato Grosso,7,3441,1
2011,Mato Grosso,7,1061,1
2012,Mato Grosso,7,2008,1
2013,Mato Grosso,7,1630,1
2014,Mato Grosso,7,2255,1
2015,Mato Grosso,7,1533,1
2016,Mato Grosso,7,3495,1
2017,Mato Grosso,7,2790,1
1998,Mato Grosso,8,15405,1
1999,Mato Grosso,8,18566,1
2000,Mato Grosso,8,6063,1
2001,Mato Grosso,8,7762,1
2002,Mato Grosso,8,14085,1
2003,Mato Grosso,8,11132,1
2004,Mato Grosso,8,13603,1
2005,Mato Grosso,8,11570,1
2006,Mato Grosso,8,6218,1
2007,Mato Grosso,8,14453,1
2008,Mato Grosso,8,2875,1
2009,Mato Grosso,8,2250,1
2010,Mato Grosso,8,14607,1
2011,Mato Grosso,8,2628,1
2012,Mato Grosso,8,6195,1
2013,Mato Grosso,8,3568,1
2014,Mato Grosso,8,7167,1
2015,Mato Grosso,8,5112,1
2016,Mato Grosso,8,6228,1
2017,Mato Grosso,8,6229,1
1998,Mato Grosso,9,10363,1
1999,Mato Grosso,9,11729,1
2000,Mato Grosso,9,6251,1
2001,Mato Grosso,9,8490,1
2002,Mato Grosso,9,11034,1
2003,Mato Grosso,9,15790,1
2004,Mato Grosso,9,24994,1
2005,Mato Grosso,9,20551,1
2006,Mato Grosso,9,12661,1
2007,Mato Grosso,9,25963,1
2008,Mato Grosso,9,7965,1
2009,Mato Grosso,9,3128,1
2010,Mato Grosso,9,18366,1
2011,Mato Grosso,9,6332,1
2012,Mato Grosso,9,10344,1
2013,Mato Grosso,9,5576,1
2014,Mato Grosso,9,7081,1
2015,Mato Grosso,9,11068,1
2016,Mato Grosso,9,8980,1
2017,Mato Grosso,9,23945,1
1998,Mato Grosso,10,2707,1
1999,Mato Grosso,10,6109,1
2000,Mato Grosso,10,6062,1
2001,Mato Grosso,10,6542,1
2002,Mato Grosso,10,9375,1
2003,Mato Grosso,10,5341,1
2004,Mato Grosso,10,9295,1
2005,Mato Grosso,10,7765,1
2006,Mato Grosso,10,2327,1
2007,Mato Grosso,10,4890,1
2008,Mato Grosso,10,6326,1
2009,Mato Grosso,10,2578,1
2010,Mato Grosso,10,4465,1
2011,Mato Grosso,10,2009,1
2012,Mato Grosso,10,2836,1
2013,Mato Grosso,10,1986,1
2014,Mato Grosso,10,5281,1
2015,Mato Grosso,10,6490,1
2016,Mato Grosso,10,2748,1
2017,Mato Grosso,10,4800,1
1998,Mato Grosso,11,182,1
1999,Mato Grosso,11,842,1
2000,Mato Grosso,11,502,1
2001,Mato Grosso,11,373,1
2002,Mato Grosso,11,2905,1
2003,Mato Grosso,11,2097,1
2004,Mato Grosso,11,2405,1
2005,Mato Grosso,11,1368,1
2006,Mato Grosso,11,1031,1
2007,Mato Grosso,11,299,1
2008,Mato Grosso,11,190,1
2009,Mato Grosso,11,588,1
2010,Mato Grosso,11,768,1
2011,Mato Grosso,11,1103,1
2012,Mato Grosso,11,375,1
2013,Mato Grosso,11,1064,1
2014,Mato Grosso,11,1018,1
2015,Mato Grosso,11,1930,1
2016,Mato Grosso,11,918,1
2017,Mato Grosso,11,813,1
1998,Mato Grosso,12,76,1
1999,Mato Grosso,12,47,1
2000,Mato Grosso,12,98,1
2001,Mato Grosso,12,37,1
2002,Mato Grosso,12,1157,1
2003,Mato Grosso,12,1622,1
2004,Mato Grosso,12,1217,1
2005,Mato Grosso,12,246,1
2006,Mato Grosso,12,23,1
2007,Mato Grosso,12,81,1
2008,Mato Grosso,12,159,1
2009,Mato Grosso,12,171,1
2010,Mato Grosso,12,846,1
2011,Mato Grosso,12,431,1
2012,Mato Grosso,12,492,1
2013,Mato Grosso,12,447,1
2014,Mato Grosso,12,466,1
2015,Mato Grosso,12,1777,1
2016,Mato Grosso,12,425,1
1998,Mato Grosso,1,0,1
1999,Mato Grosso,1,239,1
2000,Mato Grosso,1,326,1
2001,Mato Grosso,1,97,1
2002,Mato Grosso,1,304,1
2003,Mato Grosso,1,182,1
2004,Mato Grosso,1,258,1
2005,Mato Grosso,1,59,1
2006,Mato Grosso,1,59,1
2007,Mato Grosso,1,19,1
2008,Mato Grosso,1,63,1
2009,Mato Grosso,1,229,1
2010,Mato Grosso,1,72,1
2011,Mato Grosso,1,129,1
2012,Mato Grosso,1,201,1
2013,Mato Grosso,1,174,1
2014,Mato Grosso,1,197,1
2015,Mato Grosso,1,226,1
2016,Mato Grosso,1,127,1
2017,Mato Grosso,1,355,1
1998,Mato Grosso,2,0,1
1999,Mato Grosso,2,69,1
2000,Mato Grosso,2,81,1
2001,Mato Grosso,2,89,1
2002,Mato Grosso,2,98,1
2003,Mato Grosso,2,108,1
2004,Mato Grosso,2,169,1
2005,Mato Grosso,2,221,1
2006,Mato Grosso,2,104,1
2007,Mato Grosso,2,111,1
2008,Mato Grosso,2,78,1
2009,Mato Grosso,2,164,1
2010,Mato Grosso,2,157,1
2011,Mato Grosso,2,61,1
2012,Mato Grosso,2,112,1
2013,Mato Grosso,2,100,1
2014,Mato Grosso,2,139,1
2015,Mato Grosso,2,148,1
2016,Mato Grosso,2,187,1
2017,Mato Grosso,2,165,1
1998,Mato Grosso,3,0,1
1999,Mato Grosso,3,100,1
2000,Mato Grosso,3,23,1
2001,Mato Grosso,3,39,1
2002,Mato Grosso,3,115,1
2003,Mato Grosso,3,137,1
2004,Mato Grosso,3,225,1
2005,Mato Grosso,3,158,1
2006,Mato Grosso,3,137,1
2007,Mato Grosso,3,137,1
2008,Mato Grosso,3,97,1
2009,Mato Grosso,3,118,1
2010,Mato Grosso,3,149,1
2011,Mato Grosso,3,37,1
2012,Mato Grosso,3,169,1
2013,Mato Grosso,3,158,1
2014,Mato Grosso,3,95,1
2015,Mato Grosso,3,190,1
2016,Mato Grosso,3,143,1
2017,Mato Grosso,3,170,1
1998,Mato Grosso,4,0,1
1999,Mato Grosso,4,97,1
2000,Mato Grosso,4,90,1
2001,Mato Grosso,4,108,1
2002,Mato Grosso,4,230,1
2003,Mato Grosso,4,126,1
2004,Mato Grosso,4,97,1
2005,Mato Grosso,4,126,1
2006,Mato Grosso,4,51,1
2007,Mato Grosso,4,46,1
2008,Mato Grosso,4,72,1
2009,Mato Grosso,4,291,1
2010,Mato Grosso,4,136,1
2011,Mato Grosso,4,23,1
2012,Mato Grosso,4,97,1
2013,Mato Grosso,4,78,1
2014,Mato Grosso,4,129,1
2015,Mato Grosso,4,65,1
2016,Mato Grosso,4,161,1
2017,Mato Grosso,4,59,1
1998,Mato Grosso,5,0,1
1999,Mato Grosso,5,206,1
2000,Mato Grosso,5,127,1
2001,Mato Grosso,5,112,1
2002,Mato Grosso,5,88,1
2003,Mato Grosso,5,74,1
2004,Mato Grosso,5,25,1
2005,Mato Grosso,5,328,1
2006,Mato Grosso,5,99,1
2007,Mato Grosso,5,62,1
2008,Mato Grosso,5,34,1
2009,Mato Grosso,5,927,1
2010,Mato Grosso,5,105,1
2011,Mato Grosso,5,81,1
2012,Mato Grosso,5,157,1
2013,Mato Grosso,5,72,1
2014,Mato Grosso,5,70,1
2015,Mato Grosso,5,58,1
2016,Mato Grosso,5,97,1
2017,Mato Grosso,5,72,1
1998,Mato Grosso,6,82,1
1999,Mato Grosso,6,127,1
2000,Mato Grosso,6,157,1
2001,Mato Grosso,6,249,1
2002,Mato Grosso,6,517,1
2003,Mato Grosso,6,170,1
2004,Mato Grosso,6,394,1
2005,Mato Grosso,6,439,1
2006,Mato Grosso,6,89,1
2007,Mato Grosso,6,141,1
2008,Mato Grosso,6,24,1
2009,Mato Grosso,6,376,1
2010,Mato Grosso,6,149,1
2011,Mato Grosso,6,104,1
2012,Mato Grosso,6,96,1
2013,Mato Grosso,6,35,1
2014,Mato Grosso,6,84,1
2015,Mato Grosso,6,299,1
2016,Mato Grosso,6,120,1
2017,Mato Grosso,6,175,1
1998,Mato Grosso,7,360,1
1999,Mato Grosso,7,1297,1
2000,Mato Grosso,7,160,1
2001,Mato Grosso,7,591,1
2002,Mato Grosso,7,935,1
2003,Mato Grosso,7,182,1
2004,Mato Grosso,7,529,1
2005,Mato Grosso,7,859,1
2006,Mato Grosso,7,289,1
2007,Mato Grosso,7,197,1
2008,Mato Grosso,7,116,1
2009,Mato Grosso,7,354,1
2010,Mato Grosso,7,589,1
